,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
71,E0,06/10/2018,Burnley,Huddersfield,1,1,D,1,0,H,C Kavanagh,6,19,3,2,8,11,1,10,2,2,0,0,2.14,3.1,4.2,10,3.6842,4.2632,1.9737,1.4474,9.4737,10.5263,1.1842,0.5789,1.7895,2.0000
72,E0,06/10/2018,Crystal Palace,Wolves,0,1,A,0,0,D,M Oliver,11,7,4,2,11,13,6,3,3,4,0,0,3.0,3.2,2.62,10,5.3947,5.1316,1.5263,1.8947,12.9737,12.5526,1.3421,1.2368,1.3947,1.2105
73,E0,06/10/2018,Leicester,Everton,1,2,A,1,1,D,A Marriner,8,17,2,8,10,11,2,10,2,1,1,0,2.2,3.4,3.6,10,5.5263,5.6579,1.5000,1.4474,13.5526,13.1053,1.3421,1.4211,1.2632,1.2105
74,E0,06/10/2018,Man United,Newcastle,3,2,H,0,2,A,A Taylor,18,13,10,8,16,8,10,6,2,2,0,0,1.44,4.5,9.0,10,5.2632,4.7632,1.9211,1.5000,13.8421,11.7368,1.7105,1.1053,1.4211,1.2632
75,E0,06/10/2018,Tottenham,Cardiff,1,0,H,1,0,H,M Dean,19,8,7,6,7,11,6,2,2,1,0,1,1.22,7.0,15.0,10,5.1053,4.4211,1.4737,1.7368,14.1316,10.9737,1.7632,0.8947,1.0263,1.8158
76,E0,06/10/2018,Watford,Bournemouth,0,4,A,0,3,A,J Moss,14,10,2,7,11,9,10,7,3,1,1,0,2.14,3.6,3.5,10,4.6579,5.0263,2.0263,1.5789,11.5000,11.7368,1.3684,1.4737,1.5526,1.8421
77,E0,07/10/2018,Fulham,Arsenal,1,5,A,1,1,D,P Tierney,21,9,4,7,11,12,4,2,2,0,0,0,5.25,4.33,1.66,10,4.2368,2.8684,1.7895,1.8947,11.9474,12.2895,0.8947,1.9211,2.1316,1.3421
78,E0,07/10/2018,Liverpool,Man City,0,0,D,0,0,D,M Atkinson,7,6,2,2,10,10,2,6,1,3,0,0,2.54,3.6,2.8,10,6.5526,7.8421,1.0000,1.1579,15.1316,17.9737,2.3421,2.5000,0.5789,0.6053
79,E0,07/10/2018,Southampton,Chelsea,0,3,A,0,1,A,C Pawson,15,21,6,6,13,11,4,12,6,0,0,0,6.0,4.1,1.61,10,5.0789,5.6579,1.8684,1.2895,12.7105,15.9737,1.1842,1.6579,1.7105,1.0263
80,E0,20/10/2018,Bournemouth,Southampton,0,0,D,0,0,D,L Probert,10,8,2,4,10,14,6,4,1,2,0,0,2.04,3.7,3.75,10,5.0263,5.0789,1.5789,1.8684,11.7368,12.7105,1.4737,1.1842,1.8421,1.7105
81,E0,20/10/2018,Cardiff,Fulham,4,2,H,2,2,D,K Friend,22,9,5,4,15,16,4,4,3,3,0,0,2.5,3.5,2.95,10,4.4211,4.2368,1.7368,1.7895,10.9737,11.9474,0.8947,0.8947,1.8158,2.1316
82,E0,20/10/2018,Chelsea,Man United,2,2,D,1,0,H,M Dean,21,7,6,4,9,17,5,3,2,5,0,0,1.75,3.8,5.25,10,5.6579,5.2632,1.2895,1.9211,15.9737,13.8421,1.6579,1.7105,1.0263,1.4211
83,E0,20/10/2018,Huddersfield,Liverpool,0,1,A,0,1,A,M Oliver,13,11,1,2,9,6,2,4,0,2,0,0,11.0,5.5,1.33,10,4.2632,6.5526,1.4474,1.0000,10.5263,15.1316,0.5789,2.3421,2.0000,0.5789
84,E0,20/10/2018,Man City,Burnley,5,0,H,1,0,H,J Moss,24,5,10,0,11,5,10,1,2,2,0,0,1.08,13.0,34.0,10,7.8421,3.6842,1.1579,1.9737,17.9737,9.4737,2.5000,1.1842,0.6053,1.7895
85,E0,20/10/2018,Newcastle,Brighton,0,1,A,0,1,A,A Marriner,27,8,6,2,13,17,10,2,0,2,0,0,2.2,3.25,3.8,10,4.7632,4.1053,1.5000,1.5789,11.7368,9.7632,1.1053,0.9211,1.2632,1.5789
86,E0,20/10/2018,West Ham,Tottenham,0,1,A,0,1,A,M Atkinson,13,10,4,2,8,10,10,6,3,0,0,0,4.1,3.9,1.9,10,4.9474,5.1053,1.5526,1.4737,11.6053,14.1316,1.3684,1.7632,1.4474,1.0263
87,E0,20/10/2018,Wolves,Watford,0,2,A,0,2,A,L Mason,10,9,1,3,23,13,8,2,3,1,0,0,1.75,3.75,5.25,10,5.1316,4.6579,1.8947,2.0263,12.5526,11.5000,1.2368,1.3684,1.2105,1.5526
88,E0,21/10/2018,Everton,Crystal Palace,2,0,H,0,0,D,A Taylor,20,7,4,3,13,17,10,5,2,1,0,0,1.85,3.6,4.75,10,5.6579,5.3947,1.4474,1.5263,13.1053,12.9737,1.4211,1.3421,1.2105,1.3947
89,E0,22/10/2018,Arsenal,Leicester,3,1,H,1,1,D,C Kavanagh,19,8,6,2,10,10,6,4,2,2,0,0,1.53,4.5,6.5,10,2.8684,5.5263,1.8947,1.5000,12.2895,13.5526,1.9211,1.3421,1.3421,1.2632
